ID,"Investor Name","Investor Type","Investor Country","Found Domain",Website,"Search Strategy",Status
842,"NewAlpha Asset Management","Fund of Funds",FR,newalpha.com,https://www.newalpha.com,duckduckgo_search,FOUND
843,"Al Rashed Global Holding","Family Office",UAE,alrashedglobal.com,http://www.alrashedglobal.com,duckduckgo_search,FOUND
844,"WTW (Willis Towers Watson)","Foreign Pension",GB,wtwco.com,https://www.wtwco.com,duckduckgo_search,FOUND
845,"ACCESS LGPS",Pension,GB,accesspool.org,https://www.accesspool.org,duckduckgo_search,FOUND
846,"Childrens Healthcare of Atlanta (CHoA)","Non-Profit - Foundation",US,choa.org,,duckduckgo_search,FOUND
847,"TIFF Investment Management","Fund of Funds",US,tiff.org,,duckduckgo_search,FOUND
848,"Studen Global","Family Office",Austria,studen-global.com,https://www.studen-global.com,duckduckgo_search,FOUND
849,"FAB (First Abu Dhabi BAnk)","Bank/Financial Institution","Abu Dhabi",bankfab.com,https://www.bankfab.com,duckduckgo_search,FOUND
850,"Carnegie Mellon University","Non-Profit - Endowment",USA,cmu.edu,https://www.cmu.edu,duckduckgo_search,FOUND
851,UPP,"Non-Profit - Endowment",Canada,myupp.ca,,duckduckgo_search,FOUND
852,"Anthos Fund & AM","Family Office",Netherlands,anthosam.com,https://www.anthosam.com,duckduckgo_search,FOUND
853,"ISIO Consulting",Consultant,GB,isio.com,https://www.isio.com,duckduckgo_search,FOUND
854,"Tomlinson Family Office","Family Office",Switzerland,,,not_found,NOT_FOUND
855,"SBI Okasan Asset Mgmt","Bank/Financial Institution",Japan,sbigroup.co.jp,https://www.sbigroup.co.jp,duckduckgo_search,FOUND
856,"Menora Mivtachim","Foreign Pension",Israel,menoramivt.co.il,https://www.menoramivt.co.il,duckduckgo_search,FOUND
857,Unigestion,"Fund of Funds",Switzerland,unigestion.com,https://www.unigestion.com,direct_website,FOUND
858,"UBS Wealth/Alt","Fund of Funds",Switzerland,ubs.com,,duckduckgo_search,FOUND
859,"HQ Trust","Family Office",,hqholding.com,https://www.hqholding.com,duckduckgo_search,FOUND
860,"Quintet Bank","Fund of Funds","Luxembourg, pan Europe/UK",fintool.com,https://www.fintool.com,duckduckgo_search,FOUND
861,"Stena (Corp&FO)","Family Office",Switzerland,dakota.com,https://www.dakota.com,duckduckgo_search,FOUND
862,"Aksia Japan",Consultant,,aksia.com,https://www.aksia.com,duckduckgo_search,FOUND
864,"8Capital - Ambacher Family Office","Family Office",Austria,at.linkedin.com,http://at.linkedin.com,duckduckgo_search,FOUND
865,1010,"Family Office",Aus,1010capital.com.au,,duckduckgo_search,FOUND
866,1848,"Family Office",GB,1848.net,https://www.1848.net,direct_website,FOUND
868,PG3,"Family Office",Switzerland,pg3.ch,https://www.pg3.ch,direct_website,FOUND
869,"Swiss Re",Insurer,Switzerland,swissre.com,,duckduckgo_search,FOUND
870,"Coller Capital FO","Family Office",GB,news.bloomberglaw.com,,duckduckgo_search,FOUND
871,"Winnipeg County Employees Benefit Plan (WCEBP)",Pension,Canada,wcebp.ca,https://www.wcebp.ca,duckduckgo_search,FOUND
872,"Topaz Capital","Fund of Funds",,topazfund.com,https://www.topazfund.com,duckduckgo_search,FOUND
873,"Local Tapiola","Fund of Funds",Finland,lahitapiola.fi,https://www.lahitapiola.fi,duckduckgo_search,FOUND
874,"UBS AM","Bank/Financial Institution",Global,ubs.com,,duckduckgo_search,FOUND
875,"Bluewell FO","Family Office",GB,bny.com,https://www.bny.com,duckduckgo_search,FOUND
876,"Daido Life Insurance","Bank/Financial Institution",Japan,td-holdings.co.jp,https://www.td-holdings.co.jp,duckduckgo_search,FOUND
877,"Pilot Point","Individual (HNW)",BVI,i-bvi.com,https://www.i-bvi.com,duckduckgo_search,FOUND
878,REYL,"Bank/Financial Institution",Switzerland,reyl.ch,,duckduckgo_search,FOUND
879,"London LGPS CIV",Pension,GB,londonciv.org.uk,https://www.londonciv.org.uk,duckduckgo_search,FOUND
880,"East Riding LGPS",Pension,GB,erpf.org.uk,https://www.erpf.org.uk,duckduckgo_search,FOUND
881,"Anthony de Heinrich","Individual (HNW)",Switzlerland,rocketreach.co,https://www.rocketreach.co,duckduckgo_search,FOUND
882,"Waterfield Advisers","Family Office",India,waterfieldadvisors.com,https://waterfieldadvisors.com,duckduckgo_search,FOUND
883,"ASAH LM","Family Office",France,opencorpdata.com,,duckduckgo_search,FOUND
884,"Denoo Sarl","Family Office",,verif.com,https://www.verif.com,duckduckgo_search,FOUND
885,"LSG Holdings","Family Office",GB,lsg.com,https://www.lsg.com,direct_website,FOUND
886,"Mephezalea Asset Services LLP","Family Office",India,asianinvestor.net,,duckduckgo_search,FOUND
888,"Bugle Rock Capital","Family Office",Singapore,buglerock.sg,https://www.buglerock.sg,duckduckgo_search,FOUND
889,"Quandt - Seedamm (BMW FO)","Family Office",Germany,thececilygroup.com,https://www.thececilygroup.com,duckduckgo_search,FOUND
890,"SBI Okasan Asset Mgmt","Bank/Financial Institution",Japan,sbigroup.co.jp,https://www.sbigroup.co.jp,duckduckgo_search,FOUND
891,"Phoenix Financial","Bank/Financial Institution",Israel,phoenixfinancial.co.il,https://www.phoenixfinancial.co.il,direct_website,FOUND
892,"One Family Office","Family Office",AE,onefamilyoffice.eu,https://www.onefamilyoffice.eu,duckduckgo_search,FOUND
893,[JCR],,,jcr.clarivate.com,https://jcr.clarivate.com,duckduckgo_search,FOUND
894,synatom,"Foreign Pension",Belgium,taxpatria.be,https://www.taxpatria.be,duckduckgo_search,FOUND
895,NEST,Pension,GB,nest.com,https://www.nest.com,direct_website,FOUND
896,"Grosvenor Capital Management","Fund of Funds",US,grosvenor.com,https://www.grosvenor.com,direct_website,FOUND
897,"Exelon Corporation",Corporate,,exeloncorp.com,https://www.exeloncorp.com,duckduckgo_search,FOUND
898,"Texas Treasury","Pension - Public",US,prb.texas.gov,,duckduckgo_search,FOUND
899,"IMAS Foundation","Non-Profit - Foundation",Netherlands,imasfoundation.org,https://www.imasfoundation.org,duckduckgo_search,FOUND
900,"Tariffs Impact - Questions",,,,,not_found,NOT_FOUND
902,"SuMi Trust (SMTB)","Bank/Financial Institution",Japan,smtb.jp,,duckduckgo_search,FOUND
903,"CAMAltamar / Evonik",Corporate,DE,evonik.com,,duckduckgo_search,FOUND
904,Ampega,Insurer,Germany,ampega.de,https://www.ampega.de,duckduckgo_search,FOUND
905,"Aktia AM Finland","Fund of Funds",Finland,aktia.fi,https://www.aktia.fi,duckduckgo_search,FOUND
906,"KZVK Cologne","Foreign Pension",Germany,kzvk.de,https://www.kzvk.de,duckduckgo_search,FOUND
907,"AXA Winterthur",Insurer,CH,axa.ch,https://www.axa.ch,duckduckgo_search,FOUND
908,"KOSE Pension Fund","Pension - Private Non-ERISA",Japan,e-housing.jp,https://www.e-housing.jp,duckduckgo_search,FOUND
909,"East West Investment Management","Family Office",CA,eastwestfunds.com,https://www.eastwestfunds.com,duckduckgo_search,FOUND
910,"FFC Capital Corporation","Family Office",US,ffc.com,https://www.ffc.com,direct_website,FOUND
912,"Hymans Robertson",Consultant,GB,hymansrobertson.com,https://www.hymansrobertson.com,direct_website,FOUND
913,"Palladio Partners","Fund of Funds",Germany,palladio-partners.com,,duckduckgo_search,FOUND
914,"L&G AM",Insurer,GB,am.landg.us.com,https://www.am.landg.us.com,duckduckgo_search,FOUND
915,PIC,Insurer,GB,pic.com,https://www.pic.com,direct_website,FOUND
916,RGA,Insurer,"GB,JP,US",reinsurancegroupofamericainc.gcs-web.com,,duckduckgo_search,FOUND
918,"USS - Universities Superannuation Scheme",Pension,GB,uss.co.uk,https://www.uss.co.uk,duckduckgo_search,FOUND
919,"Phoenix / Standard Life",Insurer,GB,thephoenixgroup.com,https://www.thephoenixgroup.com,duckduckgo_search,FOUND
921,Beazley,Insurer,GB,beazley.com,https://www.beazley.com,direct_website,FOUND
922,"L&G Re",Insurer,BM,legalandgeneralre.com,https://www.legalandgeneralre.com,duckduckgo_search,FOUND
923,"Lloyds of London",Insurer,,lloyds.com,https://www.lloyds.com,duckduckgo_search,FOUND
925,"Meiji Yasuda Life Insurance",Insurer,Japan,meijiyasuda.co.jp,https://www.meijiyasuda.co.jp,duckduckgo_search,FOUND
926,"Santander Private bank","Bank/Financial Institution","Spain / UAE",difc.com,https://www.difc.com,duckduckgo_search,FOUND
927,"Smarter Capital","Family Office",Australia,smartercapital.net,https://www.smartercapital.net,duckduckgo_search,FOUND
928,"Roger H. Hanson","Individual (HNW)",KY,waystone.com,https://www.waystone.com,duckduckgo_search,FOUND
930,"Fordham University","Non-Profit - Endowment",US,projects.propublica.org,https://projects.propublica.org,duckduckgo_search,FOUND
931,"University of California, Los Angeles (UCLA Investment Company)","Non-Profit - Endowment",US,uclainvestmentcompany.org,,duckduckgo_search,FOUND
932,"Albourne Japan","Fund of Funds",Japan,www-us.albourne.com,https://www-us.albourne.com,duckduckgo_search,FOUND
933,"New York Life Investors",Insurer,"GB,US",newyorklifeinvestments.com,https://www.newyorklifeinvestments.com,duckduckgo_search,FOUND
934,"Aviva Investors",Insurer,GB,avivainvestors.com,https://www.avivainvestors.com,direct_website,FOUND
935,"Scottish Widows",Insurer,,scottishwidows.co.uk,https://www.scottishwidows.co.uk,duckduckgo_search,FOUND
936,"Alameda County Employees Retirement Association","Pension - Private Non-ERISA",US,acera.org,https://www.acera.org,duckduckgo_search,FOUND
937,"Los Angeles City Employees Retirement System (LACERS)","Pension - Private Non-ERISA",US,lacers.org,https://www.lacers.org,duckduckgo_search,FOUND
939,"Cape Capital","Family Office",Switzerland,capecapital.com,https://www.capecapital.com,duckduckgo_search,FOUND
940,"Müller-Möhl Group [MM Grp]","Family Office",Switzerland,mm-grp.com,https://www.mm-grp.com,duckduckgo_search,FOUND
941,"LPPI LGPS",Pension,GB,localpensionspartnership.org.uk,https://www.localpensionspartnership.org.uk,duckduckgo_search,FOUND
942,"Welsh Pension Partnership LGPS",Pension,GB,walespensionpartnership.org,https://www.walespensionpartnership.org,duckduckgo_search,FOUND
